Infinitive	First Conjugation	Second Conjugation
odsapać	odsapię	odsapie
odsapnąć	odsapnę	odsapnie
odsapywać	odsapuję	odsapuje
odsarknąć	odsarknę	odsarknie
odsączać	odsączam	odsącza
odsączyć	odsączę	odsączy
odsądzać	odsądzam	odsądza
odsądzić	odsądzę	odsądzi
odsedniać	odsedniam	odsednia
odsednić	odsednię	odsedni
odsentymantalizowywać	odsentymantalizowuję	odsentymantalizowuje
odsentymentalizować	odsentymentalizuję	odsentymentalizuje
odseparować	odseparuję	odseparuje
odseparowywać	odseparowuję	odseparowuje
odsiać	odsieję	odsieje
odsiadać	odsiadam	odsiada
odsiadywać	odsiaduję	odsiaduje
odsiarczać	odsiarczam	odsiarcza
odsiarczyć	odsiarczę	odsiarczy
odsiedzieć	odsiedzę	odsiedzi
odsiewać	odsiewam	odsiewa
odsikać	odsikam	odsika
odsikiwać	odsikuję	odsikuje
odskakiwać	odskakuję	odskakuje
odsklepiać	odsklepiam	odsklepia
odsklepić	odsklepię	odsklepi
odskoczyć	odskoczę	odskoczy
odskórzać	odskórzam	odskórza
odskórzyć	odskórzę	odskórzy
odskrobać	odskrobię	odskrobie
odskrobywać	odskrobuję	odskrobuje
odskrzeczeć	odskrzeczę	odskrzeczy
odskrzekiwać	odskrzekuję	odskrzekuje
odsłaniać	odsłaniam	odsłania
odsłonić	odsłonię	odsłoni
odsłowiańszczać	odsłowiańszczam	odsłowiańszcza
odsłowiańszczyć	odsłowiańszczę	odsłowiańszczy
odsłuchać	odsłucham	odsłucha
odsłuchiwać	odsłuchuję	odsłuchuje
odsługiwać	odsługuję	odsługuje
odsłużyć	odsłużę	odsłuży
odsmagać	odsmagam	odsmaga
odsmalać	odsmalam	odsmala
odsmalić	odsmalę	odsmali
odsmażać	odsmażam	odsmaża
odsmażyć	odsmażę	odsmaży
odsmucić	odsmucę	odsmuci
odsolić	odsolę	odsoli
odsolidaryzować	odsolidaryzuję	odsolidaryzuje
odsolidaryzowywać	odsolidaryzowuję	odsolidaryzowuje
odspajać	odspajam	odspaja
odspoić	odspoję	odspoi
odspowiadać	odspowiadam	odspowiada
odsprzedać	odsprzedam	odsprzeda
odsprzedawać	odsprzedaję	odsprzedaje
odstać	odstoję	odstoi
odstanawiać	odstanawiam	odstanawia
odstanowić	odstanowię	odstanowi
odstawać	odstaję	odstaje
odstawiać	odstawiam	odstawia
odstawić	odstawię	odstawi
odstąpić	odstąpię	odstąpi
odstępować	odstępuję	odstępuje
odstrajać	odstrajam	odstraja
odstraszać	odstraszam	odstrasza
odstraszyć	odstraszę	odstraszy
odstresować	odstresuję	odstresuje
odstręczać	odstręczam	odstręcza
odstręczyć	odstręczę	odstręczy
odstroić	odstroję	odstroi
odstrychać	odstrycham	odstrycha
odstrychnąć	odstrychnę	odstrychnie
odstrzelać	odstrzelam	odstrzela
odstrzelić	odstrzelę	odstrzeli
odstrzeliwać	odstrzeliwuję	odstrzeliwuje
odstukać	odstukam	odstuka
odstukiwać	odstukuję	odstukuje
odstuknąć	odstuknę	odstuknie
odsunąć	odsunę	odsunie
odsupłać	odsupłam	odsupła
odsupływać	odsupłuję	odsupłuje
odsuszać	odsuszam	odsusza
odsuszyć	odsuszę	odsuszy
odsuwać	odsuwam	odsuwa
odsycić	odsycę	odsyci
odsylabizować	odsylabizuję	odsylabizuje
odsyłać	odsyłam	odsyła
odsypać	odsypię	odsypie
odsypiać	odsypiam	odsypia
odsypywać	odsypuję	odsypuje
odsysać	odsysam	odsysa
odszaklować	odszakluję	odszakluje
odszczać	odszczę	odszczy
odszczebiotać	odszczebiocę	odszczebioce
odszczeciniać	odszczeciniam	odszczecinia
odszczecinić	odszczecinię	odszczecini
odszczególniać	odszczególniam	odszczególnia
odszczególnić	odszczególnię	odszczególni
odszczekać	odszczekam	odszczeka
odszczekiwać	odszczekuję	odszczekuje
odszczeknąć	odszczeknę	odszczeknie
odszczepać	odszczepię	odszczepie
odszczepiać	odszczepiam	odszczepia
odszczepić	odszczepię	odszczepi
odszczepywać	odszczepuję	odszczepuje
odszczurzać	odszczurzam	odszczurza
odszczurzyć	odszczurzę	odszczurzy
odszczywać	odszczywam	odszczywa
odszepnąć	odszepnę	odszepnie
odszeptać	odszeptam	odszepcze
odszeptywać	odszeptuję	odszeptuje
odszkicować	odszkicuję	odszkicuje
odszkicowywać	odszkicowuję	odszkicowuje
odszkodować	odszkoduję	odszkoduje
odszlachcać	odszlachcam	odszlachca
odszlachcić	odszlachcę	odszlachci
odszlifować	odszlifuję	odszlifuje
odszlifowywać	odszlifowuję	odszlifowuje
odsznurować	odsznuruję	odsznuruje
odsznurowywać	odsznurowuję	odsznurowuje
odszorować	odszoruję	odszoruje
odszorowywać	odszorowuję	odszorowuje
odszpuntować	odszpuntuję	odszpuntuje
odszpuntowywać	odszpuntowuję	odszpuntowuje
odszraniać	odszraniam	odszrania
odszronić	odszronię	odszroni
odsztachiwać	odsztachuję	odsztachuje
odsztachnąć	odsztachnę	odsztachnie
odsztychować	odsztychuję	odsztychuje
odsztyftować	odsztyftuję	odsztyftuje
odsztyftowywać	odsztyftowuję	odsztyftowuje
odszukać	odszukam	odszuka
odszukiwać	odszukuję	odszukuje
odszumiać	odszumiam	odszumia
odszumić	odszumię	odszumi
odszumować	odszumuję	odszumuje
odszumowywać	odszumowuję	odszumowuje
odszupasować	odszupasuję	odszupasuje
odszwargotać	odszwargocę	odszwargocze
odszyć	odszyję	odszyje
odszyfrować	odszyfruję	odszyfruje
odszyfrowywać	odszyfrowuję	odszyfrowuje
odszykować	odszykuję	odszykuje
odszykowywać	odszykowuję	odszykowuje
odszypułkować	odszypułkuję	odszypułkuje
odszypułkowywać	odszypułkowuję	odszypułkowuje
odszywać	odszywam	odszywa
odściskiwać	odściskuję	odściskuje
odścisnąć	odścisnę	odściśnie
odśmiać	odśmieję	odśmieje
odśmiechać	odśmiecham	odśmiecha
odśmiechnąć	odśmiechnę	odśmiechnie
odśmiewać	odśmiewam	odśmiewa
odśnić	odśnię	odśni
odśnieżać	odśnieżam	odśnieża
odśnieżyć	odśnieżę	odśnieży
odśpiewać	odśpiewam	odśpiewa
odśpiewywać	odśpiewuję	odśpiewuje
odśrubować	odśrubuję	odśrubuje
odśrubowywać	odśrubowuję	odśrubowuje
odświecać	odświecam	odświeca
odświecić	odświecę	odświeci
odświetlać	odświetlam	odświetla
odświetlić	odświetlę	odświetli
odświeżać	odświeżam	odświeża
odświeżyć	odświeżę	odświeży
odtaczać	odtaczam	odtacza
odtajać	odtaję	odtaje
odtajniać	odtajniam	odtajnia
odtajnić	odtajnię	odtajni
odtańcować	odtańcuję	odtańcuje
odtańcowywać	odtańcowuję	odtańcowuje
odtańczyć	odtańczę	odtańczy
odtapiać	odtapiam	odtapia
odtarasować	odtarasuję	odtarasuje
odtarasowywać	odtarasowuję	odtarasowuje
odtargować	odtarguję	odtarguje
odtarować	odtaruję	odtaruje
odtarowywać	odtarowuję	odtarowuje
odtaszczać	odtaszczam	odtaszcza
odtaszczyć	odtaszczę	odtaszczy
odteatralizować	odteatralizuję	odteatralizuje
odteatralizowywać	odteatralizowuję	odteatralizowuje
odtelefonować	odtelefonuję	odtelefonuje
odtelefonowywać	odtelefonowuję	odtelefonowuje
odtelegrafować	odtelegrafuję	odtelegrafuje
odtelegrafowywać	odtelegrafowuję	odtelegrafowuje
odtentegować	odtenteguję	odtenteguje
odtentegowywać	odtentegowuję	odtentegowuje
odtęskniać	odtęskniam	odtęsknia
odtęsknić	odtęsknię	odtęskni
odtętniać	odtętniam	odtętnia
odtętnić	odtętnię	odtętni
odtleniać	odtleniam	odtlenia
odtlenić	odtlenię	odtleni
odtłaczać	odtłaczam	odtłacza
odtłoczyć	odtłoczę	odtłoczy
odtłuc	odtłukę	odtłucze
odtłukiwać	odtłukuję	odtłukuje
odtłuszczać	odtłuszczam	odtłuszcza
odtłuścić	odtłuszczę	odtłuści
odtoczyć	odtoczę	odtoczy
odtokować	odtokuję	odtokuje
odtopić	odtopię	odtopi
odtransportować	odtransportuję	odtransportuje
odtransportowywać	odtransportowuję	odtransportowuje
odtrąbić	odtrąbię	odtrąbi
odtrącać	odtrącam	odtrąca
odtrącić	odtrącę	odtrąci
odtroczyć	odtroczę	odtroczy
odtrokować	odtrokuję	odtrokuje
odtruć	odtruję	odtruje
odtruwać	odtruwam	odtruwa
odtrzaskać	odtrzaskam	odtrzaska
odtrzaskiwać	odtrzaskuję	odtrzaskuje
odtuczyć	odtuczę	odtuczy
odturkotać	odturkocę	odturkocze
odtwarzać	odtwarzam	odtwarza
odtworzyć	odtworzę	odtworzy
odtykać	odtykam	odtyka
odtynkować	odtynkuję	odtynkuje
odtynkowywać	odtynkowuję	odtynkowuje
oduczać	oduczam	oducza
oduczyć	oduczę	oduczy
odumierać	odumieram	odumiera
odumrzeć	odumrę	odumrze
odurzać	odurzam	odurza
odurzeć	odurzeję	odurzeje
odurzyć	odurzę	odurzy
odwabiać	odwabiam	odwabia
odwabić	odwabię	odwabi
odwadniać	odwadniam	odwadnia
odwalać	odwalam	odwala
odwalczyć	odwalczę	odwalczy
odwalić	odwalę	odwali
odwaniać	odwaniam	odwania
odwapniać	odwapniam	odwapnia
odwapnić	odwapnię	odwapni
odwarkiwać	odwarkuję	odwarkuje
odwarknąć	odwarknę	odwarknie
odwarstwiać	odwarstwiam	odwarstwia
odwarstwić	odwarstwię	odwarstwi
odważać	odważam	odważa
odważyć	odważę	odważy
odwdzięczać	odwdzięczam	odwdzięcza
odwdzięczyć	odwdzięczę	odwdzięczy
odwetować	odwetuję	odwetuje
odwetowywać	odwetowuję	odwetowuje
odwęglać	odwęglam	odwęgla
odwęglić	odwęglę	odwęgli
odwiać	odwieję	odwieje
odwiązać	odwiążę	odwiąże
odwiązywać	odwiązuję	odwiązuje
odwić	odwiję	odwije
odwidzać	odwidzam	odwidza
odwidzieć	odwidzę	odwidzi
odwiedzać	odwiedzam	odwiedza
odwiedzić	odwiedzę	odwiedzi
odwierać	odwieram	odwiera
odwiercać	odwiercam	odwierca
odwiercić	odwiercę	odwierci
odwiesić	odwieszę	odwiesi
odwieszać	odwieszam	odwiesza
odwieść	odwiodę	odwiedzie
odwietrzać	odwietrzam	odwietrza
odwietrzyć	odwietrzę	odwietrzy
odwiewać	odwiewam	odwiewa
odwieźć	odwiozę	odwiezie
odwijać	odwijam	odwija
odwikłać	odwikłam	odwikła
odwikływać	odwikłuję	odwikłuje
odwilgacać	odwilgacam	odwilgaca
odwilgnąć	odwilgnę	odwilgnie
odwilgocać	odwilgocam	odwilgoca
odwilgocić	odwilgocę	odwilgoci
odwilżać	odwilżam	odwilża
odwilżyć	odwilżę	odwilży
odwinąć	odwinę	odwinie
odwirować	odwiruję	odwiruje
odwirowywać	odwirowuję	odwirowuje
odwirusować	odwirusuję	odwirusuje
odwirusowywać	odwirusowuję	odwirusowuje
odwitać	odwitam	odwita
odwizerunkować	odwizerunkuję	odwizerunkuje
odwlec	odwlekę	odwlecze
odwlekać	odwlekam	odwleka
odwłaczać	odwłaczam	odwłacza
odwłaszać	odwłaszam	odwłasza
odwłosić	odwłoszę	odwłosi
odwłóczyć	odwłóczę	odwłóczy
odwodniać	odwodniam	odwodnia
odwodnić	odwodnię	odwodni
odwodornić	odwodornię	odwodorni
odwodzić	odwodzę	odwodzi
odwojować	odwojuję	odwojuje
odwojowywać	odwojowuję	odwojowuje
odwołać	odwołam	odwoła
odwoływać	odwołuję	odwołuje
odwonić	odwonię	odwoni
odwozić	odwożę	odwozi
odwracać	odwracam	odwraca
odwrócić	odwrócę	odwróci
odwrzaskiwać	odwrzaskuję	odwrzaskuje
odwrzasnąć	odwrzasnę	odwrzaśnie
odwrzeszczeć	odwrzeszczę	odwrzeszczy
odwszawiać	odwszawiam	odwszawia
odwszawić	odwszawię	odwszawi
odwszyć	odwszę	odwszy
odwykać	odwykam	odwyka
odwyknąć	odwyknę	odwyknie
odwzajemniać	odwzajemniam	odwzajemnia
odwzajemnić	odwzajemnię	odwzajemni
odwzorcować	odwzorcuję	odwzorcuje
odwzorcowywać	odwzorcowuję	odwzorcowuje
odwzorować	odwzoruję	odwzoruje
odwzorowywać	odwzorowuję	odwzorowuje
odylować	odyluję	odyluje
odymać	odymam	odyma
odymiać	odymiam	odymia
odymić	odymię	odymi
odzbroić	odzbroję	odzbroi
odziać	odzieję	odzieje
odziarniać	odziarniam	odziarnia
odziarnić	odziarnię	odziarni
odziczać	odziczam	odzicza
odziczeć	odziczeję	odziczeje
odziczyć	odziczę	odziczy
odziedziczać	odziedziczam	odziedzicza
odziedziczyć	odziedziczę	odziedziczy
odzierać	odzieram	odziera
odzierżać	odzierżam	odzierża
odzierżeć	odzierżę	odzierży
odzierżyć	odzierżę	odzierży
odziewać	odziewam	odziewa
odziębiać	odziębiam	odziębia
odziębić	odziębię	odziębi
odziębnąć	odziębnę	odziębnie
odzipnąć	odzipnę	odzipnie
odziwnieć	odziwnieję	odziwnieje
odzłacać	odzłacam	odzłaca
odzłocić	odzłocę	odzłoci
odzmysławiać	odzmysławiam	odzmysławia
odzmysłowić	odzmysłowię	odzmysłowi
odznaczać	odznaczam	odznacza
odznaczyć	odznaczę	odznaczy
odzwaniać	odzwaniam	odzwania
odzwierciadlać	odzwierciadlam	odzwierciadla
odzwierciadlić	odzwierciadlę	odzwierciadli
odzwierciedlać	odzwierciedlam	odzwierciedla
odzwierciedlić	odzwierciedlę	odzwierciedli
odzwonić	odzwonię	odzwoni
odzwyczaić	odzwyczaję	odzwyczai
odzwyczajać	odzwyczajam	odzwyczaja
odzyskać	odzyskam	odzyska
odzyskiwać	odzyskuję	odzyskuje
odzywać	odzywam	odzywa
odżałować	odżałuję	odżałuje
odżałowywać	odżałowuję	odżałowuje
odżartować	odżartuję	odżartuje
odżąć	odeżnę	odeżnie
odżeglować	odżegluję	odżegluje
odżeglowywać	odżeglowuję	odżeglowuje
odżegnać	odżegnam	odżegna
odżegnywać	odżegnuję	odżegnuje
odżelaziać	odżelaziam	odżelazia
odżelazić	odżelazię	odżelazi
odżeleźniać	odżeleźniam	odżeleźnia
odżeleźnić	odżeleźnię	odżeleźni
odżuć	odżuję	odżuje
odżuwać	odżuwam	odżuwa
odżużlować	odżużluję	odżużluje
odżużlowywać	odżużlowuję	odżużlowuje
odżyć	odżyję	odżyje
odżyłować	odżyłuję	odżyłuje
odżyłowywać	odżyłowuję	odżyłowuje
odżynać	odżynam	odżyna
odżywać	odżywam	odżywa
odżywiać	odżywiam	odżywia
odżywić	odżywię	odżywi
ofarbować	ofarbuję	ofarbuje
ofarbowywać	ofarbowuję	ofarbowuje
oferować	oferuję	oferuje
ofiarować	ofiaruję	ofiaruje
ofiarowywać	ofiarowuję	ofiarowywa
oficjalnieć	oficjalnieję	oficjalnieje
oficjować	oficjuję	oficjuje
ofladrować	ofladruję	ofladruje
ofladrowywać	ofladrowuję	ofladrowuje
oflagować	oflaguję	oflaguje
oflagowywać	oflagowuję	oflagowuje
oflankować	oflankuję	oflankuje
ofoliować	ofoliuję	ofoliuje
ofrankować	ofrankuję	ofrankuje
ofrankowywać	ofrankowuję	ofrankowuje
ofrycować	ofrycuję	ofrycuje
ofrycowywać	ofrycowuję	ofrycowuje
ofukać	ofukam	ofuka
ofukiwać	ofukuję	ofukuje
ofuknąć	ofuknę	ofuknie
ofutrować	ofutruję	ofutruje
ogacać	ogacam	ogaca
ogacić	ogacę	ogaci
ogadać	ogadam	ogada
ogadywać	ogaduję	ogaduje
ogaić	ogaję	ogai
ogajać	ogajam	ogaja
ogałacać	ogałacam	ogałaca
oganiać	oganiam	ogania
ogapieć	ogapieję	ogapieje
ogarnąć	ogarnę	ogarnie
ogarniać	ogarniam	ogarnia
ogarnirować	ogarniruję	ogarniruje
ogarnywać	ogarnuję	ogarnuje
ogartywać	ogartuję	ogartuje
ogipsować	ogipsuję	ogipsuje
ogipsowywać	ogipsowuję	ogipsowuje
ogirlandować	ogirlanduję	ogirlanduje
oglądać	oglądam	ogląda
oglądnąć	oglądnę	oglądnie
ogładzać	ogładzam	ogładza
ogładzić	ogładzę	ogładzi
ogłaskać	ogłaszczę	ogłaszcze
ogłaskiwać	ogłaskuję	ogłaskuje
ogłaszać	ogłaszam	ogłasza
ogławiać	ogławiam	ogławia
ogłodzić	ogłodzę	ogłodzi
ogłosić	ogłoszę	ogłosi
ogłowić	ogłowię	ogłowi
ogłuchnąć	ogłuchnę	ogłuchnie
ogłupiać	ogłupiam	ogłupia
ogłupić	ogłupię	ogłupi
ogłupieć	ogłupieję	ogłupieje
ogłuszać	ogłuszam	ogłusza
ogłuszyć	ogłuszę	ogłuszy
ogmatwać	ogmatwam	ogmatwa
ognać	ognam	ogna
ognić	ognię	ogni
ognieździć	ognieżdżę	ognieździ
ognieżdżać	ognieżdżam	ognieżdża
ogniskować	ogniskuję	ogniskuje
ogniwać	ogniwam	ogniwa
ognoić	ognoję	ognoi
ogolić	ogolę	ogoli
ogołacać	ogołacam	ogołaca
ogołocić	ogołocę	ogołoci
ogonić	ogonię	ogoni
ogorzeć	ogorzeję	ogorzeje
ogólnikować	ogólnikuję	ogólnikuje
ograbiać	ograbiam	ograbia
ograbić	ograbię	ograbi
ograć	ogram	ogra
ogradzać	ogradzam	ogradza
ograniczać	ograniczam	ogranicza
ograniczyć	ograniczę	ograniczy
ograżać	ograżam	ograża
ogrodzić	ogrodzę	ogrodzi
ogromadzać	ogromadzam	ogromadza
ogromadzić	ogromadzę	ogromadzi
ogromić	ogromię	ogromi
ogromnieć	ogromnieję	ogromnieje
ogrozić	ogrożę	ogrozi
ogrywać	ogrywam	ogrywa
ogryzać	ogryzam	ogryza
ogryźć	ogryzę	ogryzie
ogrzać	ogrzeję	ogrzeje
ogrzewać	ogrzewam	ogrzewa
ogrzmocić	ogrzmocę	ogrzmoci
ogrzybieć	ogrzybieję	ogrzybieje
ogumiać	ogumiam	ogumia
ogumić	ogumię	ogumi
ogumować	ogumuję	ogumuje
ogumowywać	ogumowuję	ogumowuje
ohamować	ohamuję	ohamuje
ohamowywać	ohamowuję	ohamowuje
oheblować	ohebluję	ohebluje
oheblowywać	oheblowuję	oheblowuje
ohydzać	ohydzam	ohydza
ohydzić	ohydzę	ohydzi
ojcować	ojcuję	ojcuje
ojedwabiać	ojedwabiam	ojedwabia
ojedwabić	ojedwabię	ojedwabi
ojuczać	ojuczam	ojucza
ojuczyć	ojuczę	ojuczy
okablować	okabluję	okabluje
okablowywać	okablowuję	okablowuje
okadzać	okadzam	okadza
okadzić	okadzę	okadzi
okajdanić	okajdanię	okajdani
okalać	okalam	okala
okaleczać	okaleczam	okalecza
okaleczeć	okaleczeję	okaleczeje
okaleczyć	okaleczę	okaleczy
okamieniać	okamieniam	okamienia
okamienić	okamienię	okamieni
okamienieć	okamienieję	okamienieje
okandyzować	okandyzuję	okandyzuje
okantować	okantuję	okantuje
okapać	okapię	okapie
okapturzać	okapturzam	okapturza
okapturzyć	okapturzę	okapturzy
okapywać	okapuję	okapuje
okarmiać	okarmiam	okarmia
okarmić	okarmię	okarmi
okaszać	okaszam	okasza
okazać	okażę	okaże
okazować	okazuję	okazuje
okazywać	okazuję	okazuje
okiełzać	okiełzam	okiełza
okiełznać	okiełznam	okiełzna
okiełznąć	okiełznę	okiełznie
okiełznywać	okiełznuję	okiełznuje
okiełzywać	okiełzuję	okiełzuje
okitować	okituję	okituje
okitowywać	okitowuję	okitowuje
okiwać	okiwam	okiwa
oklapnąć	oklapnę	oklapnie
oklaskać	oklaszczę	oklaska
oklaskiwać	oklaskuję	oklaskuje
okląć	oklnę	oklnie
okleić	okleję	oklei
oklejać	oklejam	okleja
oklepać	oklepię	oklepie
oklepywać	oklepuję	oklepuje
oklinać	oklinam	oklina
oklinować	oklinuję	oklinuje
oklinowywać	oklinowuję	oklinowuje
okludować	okluduję	okluduje
okładać	okładam	okłada
okłamać	okłamię	okłamie
okłamywać	okłamuję	okłamuje
okłębiać	okłębiam	okłębia
okłębić	okłębię	okłębi
okocić	okocę	okoci
okolać	okolam	okola
okolić	okolę	okoli
okołkować	okołkuję	okołkuje
okołować	okołuję	okołuje
okołowywać	okołowuję	okołowuje
okonturować	okonturuję	okonturuje
okopać	okopię	okopie
okopcać	okopcam	okopca
okopcić	okopcę	okopci
okopcieć	okopcieję	okopcieje
okopcować	okopcuję	okopcuje
okopczykować	okopczykuję	okopczykuje
okopertować	okopertuję	okopertuje
okopywać	okopuję	okopuje
okoralić	okoralę	okorali
okorować	okoruję	okoruje
okorowywać	okorowuję	okorowuje
okosić	okoszę	okosi
okować	okuję	okuje
okółkować	okółkuję	okółkuje
okpić	okpię	okpi
okpiwać	okpiwam	okpiwa
okraczać	okraczam	okracza
okraczyć	okraczę	okraczy
okradać	okradam	okrada
okrajać	okraję	okraje
okrakać	okraczę	okracze
okraplać	okraplam	okrapla
okrasić	okraszę	okrasi
okraszać	okraszam	okrasza
okradnąć	okradnę	okradnie
okratować	okratuję	okratuje
okrawać	okrawam	okrawa
okrawędzić	okrawędzę	okrawędzi
okrągleć	okrągleję	okrągleje
okrąglić	okrąglę	okrągli
okrążać	okrążam	okrąża
okrążyć	okrążę	okrąży
określać	określam	określa
określić	określę	określi
okręcać	okręcam	okręca
okręcić	okręcę	okręci
okrętkować	okrętkuję	okrętkuje
okrętować	okrętuję	okrętuje
okroczyć	okroczę	okroczy
okroić	okroję	okroi
okropić	okropię	okropi
okroplić	okroplę	okropli
okruszać	okruszam	okrusza
okruszyć	okruszę	okruszy
okrwawiać	okrwawiam	okrwawia
okrwawić	okrwawię	okrwawi
okryć	okryję	okryje
okrywać	okrywam	okrywa
okrzepić	okrzepię	okrzepi
okrzepnąć	okrzepnę	okrzepnie
okrzesać	okrzeszę	okrzesa
okrzesywać	okrzesuję	okrzesuje
okrzewić	okrzewię	okrzewi
okrzyczeć	okrzyczę	okrzyczy
okrzykiwać	okrzykuję	okrzykuje
okrzyknąć	okrzyknę	okrzyknie
oksydować	oksyduję	oksyduje
oktrojować	oktrojuję	oktrojuje
okuć	okuję	okuje
okulawiać	okulawiam	okulawia
okulawić	okulawię	okulawi
okulawieć	okulawieję	okulawieje
okulbaczyć	okulbaczę	okulbaczy
okuleć	okuleję	okuleje
okulizować	okulizuję	okulizuje
okupić	okupię	okupi
okupować	okupuję	okupuje
okupywać	okupuję	okupuje
okurzać	okurzam	okurza
okurzyć	okurzę	okurzy
okutać	okutam	okuta
okuwać	okuwam	okuwa
okwefiać	okwefiam	okwefia
okwefić	okwefię	okwefi
okwiecać	okwiecam	okwieca
okwiecić	okwiecę	okwieci
okwitać	okwitam	okwita
okwitnąć	okwitnę	okwitnie
olać	oleję	oleje
olbrzymieć	olbrzymieję	olbrzymieje
oleić	oleję	olei
olepić	olepię	olepi
olewać	olewam	olewa
olicować	olicuję	olicuje
olinować	olinuję	olinuje
oliwić	oliwię	oliwi
olodzić	olodzę	olodzi
olsnąć	olsnę	olśnie
olśnąć	olśnę	olśnie
olśnić	olśnię	olśni
olśnieć	olśnieję	olśnieje
olśniewać	olśniewam	olśniewa
ołachmanić	ołachmanię	ołachmani
ołgać	ołgam	ołże
ołgiwać	ołguję	ołguje
ołowiować	ołowiuję	ołowiuje
ołupić	ołupię	ołupi
ołysieć	ołysieję	ołysieje
ołzawiać	ołzawiam	ołzawia
ołzawić	ołzawię	ołzawi
omacać	omacam	omaca
omacywać	omacuję	omacuje
omaczać	omaczam	omacza
omajaczyć	omajaczę	omajaczy
omalować	omaluję	omaluje
omalowywać	omalowuję	omalowuje
omamiać	omamiam	omamia
omamić	omamię	omami
omanić	omanię	omani
omarszczać	omarszczam	omarszcza
omarszczyć	omarszczę	omarszczy
omartwieć	omartwieję	omartwieje
omarzać	omarzam	omarza
omarznąć	omarznę	omarznie
omaszczać	omaszczam	omaszcza
omasztować	omasztuję	omasztuje
omasztowywać	omasztowuję	omasztowuje
omaścić	omaszczę	omaści
omatulić	omatulę	omatuli
omawiać	omawiam	omawia
omazać	omażę	omaże
omazywać	omazuję	omazuje
omączać	omączam	omącza
omączyć	omączę	omączy
omdleć	omdleję	omdleje
omdlewać	omdlewam	omdlewa
ometkować	ometkuję	ometkuje
omgleć	omgleję	omgleje
omglewać	omglewam	omglewa
omglić	omglę	omgli
omgliwać	omgliwam	omgliwuje
omiatać	omiatam	omiata
omielać	omielam	omiela
omielić	omielę	omieli
omierzać	omierzam	omierza
omierznąć	omierznę	omierznie
omierzyć	omierzę	omierzy
omieszkać	omieszkam	omieszka
omieszkiwać	omieszkuję	omieszkuje
omieść	omiotę	omiecie
omiękać	omiękam	omięka
omięknąć	omięknę	omięknie
omijać	omijam	omija
ominąć	ominę	ominie
ominować	ominuję	ominuje
ominowywać	ominowuję	ominowuje
omknąć	omknę	omknie
omleć	omielę	omiele
omłacać	omłacam	omłaca
omłócić	omłócę	omłóci
omniszać	omniszam	omnisza
omniszyć	omniszę	omniszy
omoczyć	omoczę	omoczy
omodlić	omodlę	omodli
omotać	omotam	omota
omotywać	omotuję	omotuje
omożebniać	omożebniam	omożebnia
omówić	omówię	omówi
omraczać	omraczam	omracza
omroczyć	omroczę	omroczy
omrowić	omrowię	omrowi
omsknąć	omsknę	omsknie
omszeć	omszeję	omszeje
omszyć	omszę	omszy
omurować	omuruję	omuruje
omurowywać	omurowuję	omurowuje
omuskać	omuskam	omuska
omuskiwać	omuskuję	omuskuje
omusknąć	omusknę	omusknie
omusnąć	omusnę	omuśnie
omyć	omyję	omyje
omykać	omykam	omyka
omylać	omylam	omyla
omylić	omylę	omyli
omywać	omywam	omywa
onaczyć	onaczę	onaczy
onanizować	onanizuję	onanizuje
ondulować	onduluję	onduluje
oniemiać	oniemiam	oniemia
oniemić	oniemię	oniemi
oniemieć	oniemieję	oniemieje
onieprzytomniać	onieprzytomniam	onieprzytomnia
onieprzytomnić	onieprzytomnię	onieprzytomni
onieśmielać	onieśmielam	onieśmiela
onieśmielić	onieśmielę	onieśmieli
opaćkać	opaćkam	opaćka
opadać	opadam	opada
opajać	opajam	opaja
opajęczyć	opajęczę	opajęczy
opakować	opakuję	opakuje
opakowywać	opakowuję	opakowuje
opalać	opalam	opala
opalcować	opalcuję	opalcuje
opalić	opalę	opali
opalikować	opalikuję	opalikuje
opalisadować	opalisaduję	opalisaduje
opalizować	opalizuję	opalizuje
opamiętać	opamiętam	opamięta
opamiętywać	opamiętuję	opamiętywa
opancerzać	opancerzam	opancerza
opancerzyć	opancerzę	opancerzy
opanować	opanuję	opanuje
opanowywać	opanowuję	opanowuje
oparawanić	oparawanię	oparawani
oparkaniać	oparkaniam	oparkania
oparkanić	oparkanię	oparkani
oparszeć	oparszeję	oparszeje
oparszywieć	oparszywieję	oparszywieje
oparzać	oparzam	oparza
oparzyć	oparzę	oparzy
opasać	opasam	opasa
opaskudzać	opaskudzam	opaskudza
opaskudzić	opaskudzę	opaskudzi
opasywać	opasuję	opasuje
opaść	opasę	opasie
opatentować	opatentuję	opatentuje
opatrować	opatruję	opatruje
opatrywać	opatruję	opatruje
opatrzać	opatrzam	opatrza
opatrzeć	opatrzę	opatrzy
opatrzyć	opatrzę	opatrzy
opatulać	opatulam	opatula
opatulić	opatulę	opatuli
opaźniać	opaźniam	opaźnia
opąsowieć	opąsowieję	opąsowieje
opchać	opcham	opcha
opchnąć	opchnę	opchnie
opełzać	opełzam	opełza
opełznąć	opełznę	opełznie
operlać	operlam	operla
operlić	operlę	operli
operować	operuję	operuje
opęcznieć	opęcznieję	opęcznieje
opędzać	opędzam	opędza
opędzić	opędzę	opędzi
opędzlować	opędzluję	opędzluje
opędzlowywać	opędzlowuję	opędzlowuje
opętać	opętam	opęta
opętywać	opętuję	opętuje
opiać	opieję	opieje
opiąć	opnę	opnie
